ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
PhoD_ASV38,0.005976722,0.003578169,0.003538849,0.001887386,0.002398553,0.004167977,0.001966027,0.003499528,0.001926707,0.003932054,0.002044668,0.002359232
PhoD_ASV80,0.002319912,0.002713117,0.003814092,0.003578169,0.003578169,0.002398553,0.002949041,0.004285939,0.002713117,0.004010695,0.004797106,0.002752438
PhoD_ASV118,0.002083989,0.001140296,0.001494181,0.001179616,0.002083989,0.001218937,0.005229632,0.004954388,0.006212645,0.005504876,0.003696131,0.005308273
PhoD_ASV122,0.001926707,0.003302925,0.002791758,0.003184964,0.00507235,0.007077697,0.003302925,0.001376219,0.00216263,0.004167977,0.003145643,0.003106323
PhoD_ASV59,0.003538849,0.004993709,0.002988361,0.003696131,0.002949041,0.002870399,0.002673797,0.003067002,0.002949041,0.002752438,0.003460208,0.002516515
PhoD_ASV99,0.002280591,0.003853413,0.004089336,0.002791758,0.003027682,0.00216263,0.003381567,0.001730104,0.002437874,0.00436458,0.005150991,0.003420887
PhoD_ASV105,0.001808745,0.002831079,0.002949041,0.005465555,0.004285939,0.001926707,0.002673797,0.002044668,0.003302925,0.001926707,0.002634476,0.005740799
PhoD_ASV60,0.003460208,0.003971375,0.002634476,0.002123309,0.003420887,0.005033029,0.003696131,0.002634476,0.003184964,0.004050016,0,0.002949041
PhoD_ASV90,0.002713117,0.00507235,0.004561183,0,0.003263605,0.00507235,0.004050016,0,0.003696131,0,0.004089336,0.003224284
PhoD_ASV47,0.004521862,0.002319912,0.002437874,0.003067002,0.00361749,0.003145643,0.002752438,0.002634476,0.002044668,0.002988361,0.000983014,0.002752438
PhoD_ASV67,0.002988361,0.002791758,0.002634476,0.004050016,0.005033029,0.00216263,0.001769424,0.00290972,0.003853413,0.001848065,0.002870399,0.001533501
PhoD_ASV57,0.003263605,0.002870399,0.002083989,0.003184964,0.002595156,0.002949041,0.003145643,0.002398553,0.003027682,0.006016043,0.000983014,0.001100975
PhoD_ASV112,0.001651463,0.005386914,0.00290972,0.005426235,0.003184964,0.003460208,0.002044668,0.002477194,0.00220195,0.001376219,0.001218937,0.003696131
PhoD_ASV76,0.002634476,0.00290972,0.001848065,0.003342246,0.002673797,0.002516515,0.002437874,0.001297578,0.003027682,0.00220195,0.002831079,0.004679144
PhoD_ASV64,0.003027682,0.003145643,0.002280591,0.003302925,0.00220195,0.002752438,0.002516515,0.003184964,0.002988361,0.001258257,0.002359232,0.002988361
PhoD_ASV218,0.001376219,0.001022334,0.001533501,0.001572822,0.00070777,0.003342246,0.004993709,0.003342246,0.003067002,0.005308273,0.004757785,0.002870399
PhoD_ASV72,0.003145643,0.002516515,0.003263605,0.003342246,0.003342246,0.003145643,0.001572822,0.002123309,0.002949041,0.001966027,0.001179616,0.002280591
