"","LYL1","LYL2","LYL3","LYL4","LYL5","LYL6"
"ASV234",0,0,0.00143246,0,0.001002722,0
"ASV69",0.005013608,0,0.003867641,0.003581149,0.001575705,0.001002722
"ASV838",0.011459676,0,0,0.010027217,0.01131643,0
"ASV1870",0,0,0,0,0.000859476,0.001718951
"ASV2070",0.001002722,0,0,0,0.000286492,0
"ASV2285",0.002721673,0,0,0,0,0
"ASV242",0,0,0.002005443,0,0,0
"ASV245",0,0,0.002005443,0,0,0
"ASV217",0.001575705,0,0.00143246,0,0,0.000143246
"ASV411",0,0,0.001002722,0,0,0
"ASV181",0.00143246,0,0.002721673,0.001002722,0.00143246,0.001862197
"ASV2262",0.006302822,0,0,0,0,0.00071623
"ASV1089",0,0,0,0.00071623,0.000286492,0
"ASV4600",0,0.002578427,0,0,0,0
"ASV987",0.001002722,0.001575705,0,0.001002722,0,0
"ASV837",0.004870362,0.003437903,0,0.009167741,0.002435181,0
"ASV2346",0.001145968,0,0,0,0,0
"ASV239",0.003437903,0.002864919,0.001575705,0.002148689,0.00071623,0.001862197
"ASV117",0,0,0.003724395,0,0.002005443,0.002005443
"ASV1846",0,0,0,0,0.002291935,0
"ASV1859",0,0,0,0,0.001145968,0
"ASV240",0,0,0.002005443,0,0.000572984,0
"ASV83",0.010456955,0.006589314,0.00601633,0.014181349,0.002435181,0.00601633
"ASV1025",0,0,0,0.000572984,0.000143246,0.000286492
"ASV962",0,0.000572984,0,0.00071623,0,0
"ASV918",0.002435181,0,0,0.001718951,0.001289214,0.000859476
"ASV2314",0.001575705,0,0,0,0,0
"ASV614",0.00071623,0.000572984,0.000429738,0,0.004727116,0.000572984
"ASV654",0,0.00071623,0,0,0.000429738,0
"ASV345",0.001862197,0.00143246,0.001145968,0.00143246,0.002148689,0.001002722
"ASV2630",0,0.001002722,0,0,0,0
"ASV341",0.002005443,0,0.000859476,0.00071623,0.000429738,0.000286492
"ASV319",0,0,0.00071623,0.001862197,0.001145968,0.000143246
"ASV301",0,0.001718951,0.001575705,0,0,0
"ASV8",0.018908466,0.021200401,0.026786993,0.016473285,0.014754333,0.007592036
"ASV29",0.004154133,0.003151411,0.011889414,0.002864919,0.005013608,0.001575705
"ASV1035",0,0,0,0.00071623,0.002005443,0
"ASV198",0.002721673,0,0.002721673,0,0,0
"ASV430",0.00071623,0,0.000859476,0.001718951,0.00071623,0
"ASV2357",0.001002722,0,0,0,0,0
"ASV1975",0.000859476,0,0,0,0.000143246,0
"ASV947",0,0,0,0.001145968,0,0
"ASV211",0,0,0.002291935,0.002005443,0.001718951,0.001289214
