"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV235",0.000629129,0,0,0.000786411,0,0,0.000235923,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV378",0.000353885,0.000668449,0.000629129,7.86e-05,0.000117962,0.000511167,0.000393199,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV505",0.000589808,0.000629129,0.000511167,0.000196603,0.000275244,0.000353885,0.000425973,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV4078",0,0,0,0,0.001258257,0.001179616,0.000406312,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Phyllobacteriaceae","g__Mesorhizobium","s__Mesorhizobium_amorphae"
"ASV527",0.00074709,0.000393205,0.000668449,0.000786411,0,0,0.000432526,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV440",0,0.002044668,0,0,0,0,0.000340778,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV834",0,0.001336898,0,0,0,0,0.000222816,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV718",0.001336898,0.000235923,7.86e-05,0.000511167,0.000353885,0,0.000419412,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV369",0.000550488,0.000668449,0.000235923,0.000275244,0.000511167,0.000275244,0.000419419,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV456",0,0.000471846,0.000589808,0.00070777,0.000196603,0.000157282,0.000353885,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV295",0.000983014,0.000235923,0,0.000432526,3.93e-05,0.000275244,0.000327668,"phoD","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Zoogloeaceae","g__Azoarcus","s__Azoarcus_sp._CIB"
"ASV711",0.000432526,0.000550488,0.000235923,0.000786411,0.000393205,7.86e-05,0.000412859,"phoD","p__Actinobacteria_d__Bacteria","c__Rubrobacteria","o__Rubrobacterales","f__Rubrobacteraceae","g__Rubrobacter","s__Rubrobacter_xylanophilus"
"ASV341",0.000786411,0.001140296,0,0,0.000196603,0,0.000353885,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV609",0.000629129,0,0.000432526,0.000471846,0.00074709,0.000353885,0.000439079,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV2384",0,0,0,0.001022334,0.000511167,0,0.000255584,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV383",0,0,0.001808745,0,0,0.000471846,0.000380099,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV442",0.00070777,0,0.001100975,0,0.000471846,0,0.000380099,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV533",0,0,0.000943693,0,0.001494181,0.000629129,0.000511167,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Sinorhizobium","s__Sinorhizobium_fredii"
