	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12
ASV3602	0	0	0	0	0	0
ASV1018	0.000143246	0	0	0	0.000572984	0.002291935
ASV3134	0	0	0	0.000429738	0	0
ASV3686	0	0	0	0	0	0.001002722
ASV3703	0	0	0.001002722	0	0	0.000572984
ASV1653	0	0.000572984	0	0	0	0
ASV31	0.015184071	0.019051712	0.01948145	0.012175906	0.016330039	0.007019052
ASV2510	0	0	0	0	0	0
ASV973	0.000143246	0	0	0	0	0
ASV497	0	0	0	0	0.000572984	0
ASV1566	0	0.000286492	0	0	0	0
ASV4885	0	0	0	0	0	0
ASV709	0	0	0	0	0	0
ASV3980	0	0	0.001002722	0	0.000859476	0
ASV4082	0	0	0.000143246	0	0	0
ASV4731	0	0	0	0	0	0
ASV4089	0	0	0.000572984	0	0	0
ASV4657	0	0	0	0	0	0
ASV4405	0	0	0	0	0.000286492	0
ASV1635	0	0.00071623	0	0	0	0
ASV1880	0	0	0	0	0	0
ASV1980	0	0	0	0	0	0
ASV3457	0	0	0	0	0	0
ASV1364	0	0.004727116	0	0	0	0
ASV3881	0	0	0	0	0	0.000143246
ASV4268	0	0	0	0	0.001575705	0
ASV4219	0	0	0.000143246	0	0	0
ASV2611	0.001002722	0	0	0	0	0
ASV2742	0.000286492	0	0	0	0	0
ASV701	0	0	0	0.000429738	0	0
ASV4440	0	0	0	0	0.000286492	0
ASV277	0.004727116	0.002578427	0.007019052	0.001289214	0.004583871	0.003437903
ASV3104	0	0	0	0.000143246	0	0
ASV1082	0.000572984	0	0.000429738	0.001145968	0.001002722	0
ASV3781	0	0	0	0	0	0.000572984
ASV3269	0	0	0	0	0	0
ASV1906	0	0	0	0	0	0
ASV3297	0	0	0	0	0	0
ASV129	0.002148689	0.005443346	0.002435181	0.006875806	0.009167741	0.004727116
ASV3036	0	0	0	0.000572984	0	0
ASV487	0	0	0	0	0	0
ASV4174	0	0	0.000429738	0	0	0
ASV3824	0	0	0	0	0	0.000286492
ASV2881	0.000143246	0	0	0	0	0
ASV3476	0	0	0	0	0	0
ASV2990	0	0	0	0.001145968	0	0
ASV3313	0	0	0	0	0	0
