"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV3",0.086090818,0.068614812,0.0601633,0.07964475,0.057728119,0.083082653,0.072554075,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV1463",0,0.000572984,0,0,0,0.000572984,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__Neoheteromita_caudratti"
"ASV1445",0.001002722,0.001289214,0.000143246,0.00143246,0.001002722,0,0.000811727,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV4240",0,0,0,0,0.004440625,0,0.000740104,"Pro","p__Lobosa","c__Tubulinea","o__Leptomyxida","f__Flabellulidae","g__Flabellula","s__Flabellula_citata"
"ASV363",0.002578427,0.003008165,0.002005443,0.003437903,0.003151411,0.001718951,0.00265005,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__unclassified_f__Cercomonadidae","s__unclassified_f__Cercomonadidae"
"ASV1854",0.00071623,0,0.000143246,0.000859476,0,0,0.000286492,"Pro","p__Ciliophora","c__Spirotrichea","o__Hypotrichia","f__Pseudourostylidae","g__Pseudourostyla","s__Pseudourostyla_franzi"
"ASV1448",0,0.00143246,0,0,0,0,0.000238743,"Pro","p__Ciliophora","c__Litostomatea","o__Haptoria","f__unclassified_o__Haptoria","g__unclassified_o__Haptoria","s__unclassified_o__Haptoria"
"ASV2966",0,0,0,0.001145968,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__Neoheteromita_sp."
"ASV72",0,0.006589314,0.007592036,0.005156854,0.004583871,0,0.003987012,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__Eocercomonas_sp."
"ASV2910",0,0,0,0.004010887,0.007019052,0,0.001838323,"Pro","p__Lobosa","c__Lobosa_X","o__Lobosa_XX","f__LKM74-lineage","g__LKM74-lineage_X","s__LKM74-lineage_X_sp."
"ASV2993",0,0,0,0.001002722,0,0,0.00016712,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Penardia-lineage","g__Penardia-lineage_X","s__Penardia-lineage_X_sp."
"ASV25",0.00601633,0.012892136,0.015757055,0.007162298,0.006302822,0.004870362,0.0088335,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__unclassified_f__Sandonidae","s__unclassified_f__Sandonidae"
"ASV2982",0,0,0,0.001002722,0,0,0.00016712,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Vampyrellidae","g__Vampyrella","s__Vampyrella_sp."
"ASV1392",0,0.003294657,0,0,0.002864919,0.004870362,0.001838323,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV3973",0,0,0.001718951,0,0,0,0.000286492,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__unclassified_f__Colpodidae","s__unclassified_f__Colpodidae"
"ASV3700",0,0,0,0,0,0.001002722,0.00016712,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Cercomonadidae_X","s__Cercomonadidae_X_sp."
"ASV2309",0,0,0,0,0.003294657,0,0.000549109,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__Eocercomonas_ramosa"
"ASV2609",0.001002722,0,0,0,0.002148689,0,0.000525235,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__unclassified_f__Colpodidae","s__unclassified_f__Colpodidae"
"ASV3121",0,0,0.000572984,0.000429738,0,0,0.00016712,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV1371",0,0.002005443,0,0,0.001862197,0.00143246,0.00088335,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Filosa-Imbricatea_X","f__Nudifilidae","g__Nudifila","s__Nudifila_producta"
"ASV1917",0.00071623,0,0.002005443,0,0,0.000286492,0.000501361,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__unclassified_f__Sandonidae","s__unclassified_f__Sandonidae"
"ASV960",0,0,0.001718951,0,0,0,0.000286492,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV273",0.001289214,0.001289214,0.001718951,0,0.001145968,0,0.000907224,"Pro","p__Ciliophora","c__Phyllopharyngea","o__Cyrtophoria","f__Chilodonellidae","g__Chilodonellidae_X","s__Chilodonellidae_X_sp."
"ASV3298",0,0,0,0,0,0.001718951,0.000286492,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV3969",0,0,0.001575705,0,0,0,0.000262618,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV2953",0,0,0,0.00143246,0,0.002005443,0.000572984,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV3257",0,0,0,0,0.004010887,0,0.000668481,"Pro","p__Lobosa","c__Tubulinea","o__Echinamoebida","f__Vermamoebidae","g__unclassified_f__Vermamoebidae","s__unclassified_f__Vermamoebidae"
"ASV1422",0,0.001718951,0,0,0,0,0.000286492,"Pro","p__Ciliophora","c__Litostomatea","o__Haptoria","f__unclassified_o__Haptoria","g__unclassified_o__Haptoria","s__unclassified_o__Haptoria"
"ASV2635",0.001002722,0,0.001289214,0,0,0,0.000381989,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__unclassified_c__Filosa-Sarcomonadea","f__unclassified_c__Filosa-Sarcomonadea","g__unclassified_c__Filosa-Sarcomonadea","s__unclassified_c__Filosa-Sarcomonadea"
"ASV1452",0,0.001289214,0,0,0.00143246,0,0.000453612,"Pro","p__Ciliophora","c__Spirotrichea","o__Hypotrichia","f__Oxytrichidae","g__Gonostomum","s__Gonostomum_strenuum"
"ASV3376",0,0,0.001289214,0,0,0,0.000214869,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__unclassified_f__Cercomonadidae","s__unclassified_f__Cercomonadidae"
"ASV149",0.003151411,0.004010887,0,0,0.002435181,0.002721673,0.002053192,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV3690",0,0,0,0,0,0.001002722,0.00016712,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Leptophryidae","g__Leptophryidae_X","s__Leptophryidae_X_sp."
"ASV4243",0,0,0,0,0.003437903,0,0.000572984,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__unclassified_o__Cercomonadida","g__unclassified_o__Cercomonadida","s__unclassified_o__Cercomonadida"
"ASV2650",0.001002722,0,0,0,0,0,0.00016712,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Leptophryidae","g__Leptophryidae_X","s__Leptophryidae_X_sp."
"ASV59",0.013035382,0.009454233,0.009597479,0.008738003,0.009883971,0.007162298,0.009645228,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV50",0.010313709,0.009024495,0.003581149,0.011602922,0.005013608,0.009454233,0.008165019,"Pro","p__Conosa","c__Variosea","o__ATCC50593-Flamella-WIM80-lineage","f__Flamella-lineage","g__Flamella","s__Flamella_arnhemensis"
