"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12"
"ASV152",0,0.003581149,0.003437903,0.002578427,0.003581149,0.001575705
"ASV1523",0,0.001002722,0,0,0,0
"ASV2600",0.00143246,0,0,0,0,0
"ASV2386",0.00143246,0,0,0,0,0
"ASV1530",0.00071623,0.00071623,0,0,0,0.000429738
"ASV2802",0.000286492,0,0,0,0.00071623,0
"ASV2273",0,0,0,0,0.002148689,0
"ASV48",0,0.003581149,0.004870362,0.007305544,0.004010887,0.002578427
"ASV921",0.003151411,0,0.003151411,0.003294657,0,0
"ASV389",0,0,0,0,0.001145968,0
"ASV2961",0,0,0,0.001145968,0,0
"ASV221",0,0,0.00071623,0.000286492,0.000143246,0
"ASV298",0.002148689,0.002005443,0.001862197,0.00071623,0.001718951,0.001862197
"ASV1489",0.001002722,0.000429738,0,0.000572984,0.001718951,0
"ASV1498",0,0.001002722,0,0,0,0
"ASV3644",0,0,0,0,0,0.002721673
"ASV4249",0,0,0,0,0.002005443,0
"ASV360",0.000286492,0.002005443,0.000429738,0,0,0
"ASV455",0.002864919,0,0.00071623,0,0,0.002435181
"ASV3972",0,0,0.00143246,0,0,0
"ASV2563",0.003008165,0,0,0,0,0
"ASV3949",0,0,0.002005443,0,0,0
"ASV320",0,0.002291935,0.002005443,0.00143246,0.001718951,0.000859476
"ASV2906",0,0,0,0.004154133,0,0.002864919
"ASV365",0,0.001575705,0,0,0,0
"ASV1031",0,0,0,0.001002722,0,0.002435181
"ASV3998",0,0,0.001145968,0,0,0
"ASV4324",0,0,0,0,0.001002722,0
"ASV2943",0,0,0,0.00143246,0,0
"ASV2968",0,0,0,0.001002722,0,0
"ASV132",0.004583871,0.001575705,0,0.001145968,0.001718951,0.001002722
"ASV1378",0,0.003151411,0,0,0,0
"ASV2627",0.001145968,0,0,0,0,0
"ASV1819",0,0,0.003724395,0,0,0
"ASV96",0.008308265,0.004440625,0.003294657,0.006302822,0.005156854,0.002578427
"ASV54",0.007019052,0.005586592,0.007019052,0.008021773,0.018621974,0.002005443
"ASV188",0.004297379,0.016473285,0.007305544,0.01948145,0.003437903,0.007735281
"ASV241",0.000859476,0.000286492,0.000572984,0.00071623,0.001145968,0.002148689
"ASV3",0.086090818,0.068614812,0.0601633,0.07964475,0.057728119,0.083082653
"ASV1463",0,0.000572984,0,0,0,0.000572984
"ASV388",0.002864919,0.00071623,0,0.002291935,0.000429738,0.001575705
"ASV1445",0.001002722,0.001289214,0.000143246,0.00143246,0.001002722,0
"ASV4240",0,0,0,0,0.004440625,0
"ASV363",0.002578427,0.003008165,0.002005443,0.003437903,0.003151411,0.001718951
"ASV1854",0.00071623,0,0.000143246,0.000859476,0,0
"ASV1448",0,0.00143246,0,0,0,0
"ASV2966",0,0,0,0.001145968,0,0
"ASV551",0.000572984,0,0.000572984,0,0,0.000572984
"ASV72",0,0.006589314,0.007592036,0.005156854,0.004583871,0
"ASV2910",0,0,0,0.004010887,0.007019052,0
"ASV2993",0,0,0,0.001002722,0,0
"ASV25",0.00601633,0.012892136,0.015757055,0.007162298,0.006302822,0.004870362
"ASV1404",0,0.002721673,0.001289214,0.001862197,0.001718951,0
"ASV2982",0,0,0,0.001002722,0,0
"ASV1392",0,0.003294657,0,0,0.002864919,0.004870362
"ASV3973",0,0,0.001718951,0,0,0
"ASV3700",0,0,0,0,0,0.001002722
"ASV2309",0,0,0,0,0.003294657,0
"ASV2609",0.001002722,0,0,0,0.002148689,0
"ASV3121",0,0,0.000572984,0.000429738,0,0
"ASV1371",0,0.002005443,0,0,0.001862197,0.00143246
"ASV1917",0.00071623,0,0.002005443,0,0,0.000286492
"ASV960",0,0,0.001718951,0,0,0
"ASV273",0.001289214,0.001289214,0.001718951,0,0.001145968,0
"ASV3298",0,0,0,0,0,0.001718951
"ASV3969",0,0,0.001575705,0,0,0
"ASV1054",0.002291935,0.001145968,0,0,0,0.002148689
"ASV2953",0,0,0,0.00143246,0,0.002005443
"ASV3257",0,0,0,0,0.004010887,0
"ASV1422",0,0.001718951,0,0,0,0
"ASV350",0.00143246,0.002005443,0.001145968,0,0,0.00071623
"ASV2635",0.001002722,0,0.001289214,0,0,0
"ASV1452",0,0.001289214,0,0,0.00143246,0
"ASV3376",0,0,0.001289214,0,0,0
"ASV2672",0.000572984,0,0.00143246,0,0.001575705,0
"ASV149",0.003151411,0.004010887,0,0,0.002435181,0.002721673
"ASV3690",0,0,0,0,0,0.001002722
"ASV4243",0,0,0,0,0.003437903,0
"ASV2650",0.001002722,0,0,0,0,0
"ASV59",0.013035382,0.009454233,0.009597479,0.008738003,0.009883971,0.007162298
"ASV50",0.010313709,0.009024495,0.003581149,0.011602922,0.005013608,0.009454233
"ASV1438",0,0.001002722,0,0.000143246,0,0
"ASV201",0,0,0.001145968,0.003294657,0.001002722,0.000572984
"ASV2589",0.001718951,0,0.000859476,0,0,0.000859476
"ASV997",0,0.001002722,0,0,0.000429738,0
"ASV1413",0,0.002148689,0,0,0,0
"ASV1421",0,0.002291935,0.001862197,0,0,0
"ASV1711",0,0.000429738,0,0,0.000859476,0
"ASV2550",0.011029938,0,0.002578427,0,0,0
"ASV3633",0,0,0.00143246,0,0,0.002578427
"ASV276",0,0.000859476,0,0.002005443,0.001718951,0.002005443
"ASV1432",0,0.001718951,0,0,0,0
"ASV2259",0,0,0.00673256,0,0.004154133,0
"ASV937",0,0.000859476,0,0,0,0.000286492
"ASV1867",0,0,0.003867641,0,0,0
"ASV2948",0,0,0,0.001718951,0.000143246,0
"ASV253",0.002148689,0.002005443,0.002864919,0.001718951,0.003437903,0.002435181
"ASV895",0,0,0,0.002864919,0,0
"ASV1370",0,0.004727116,0,0,0,0
"ASV2271",0,0,0,0,0.001289214,0
"ASV361",0,0.000143246,0,0,0.001002722,0.000429738
"ASV662",0,0.000143246,0.000429738,0,0.000429738,0
"ASV2950",0,0,0,0.001862197,0,0
"ASV3655",0,0,0,0,0,0.001002722
"ASV3678",0,0,0,0,0,0.001575705
"ASV2370",0.000429738,0,0.001862197,0,0,0.00071623
"ASV405",0,0.001002722,0.000859476,0.000429738,0.000572984,0
"ASV432",0,0,0.000429738,0,0.000286492,0.00071623
"ASV342",0.001145968,0,0.000572984,0,0.002721673,0
"ASV3985",0,0,0.001145968,0,0,0
"ASV1430",0,0.001145968,0,0,0,0
"ASV1369",0,0.004440625,0,0,0.001862197,0.007305544
"ASV2648",0.001289214,0,0,0.000859476,0,0
"ASV3993",0,0,0.001145968,0,0,0
"ASV37",0.00744879,0.009597479,0.005156854,0.00601633,0.007735281,0.004870362
"ASV243",0,0.003581149,0.002578427,0.0053001,0.007305544,0.003151411
"ASV2776",0.000286492,0,0,0.00143246,0,0
